"","Elevation","Transect","Quadrat","Inclination","Aspect","R_Sum","R_Mean","R_Median","R_Max","NSpp","Rou_SD"
"139",650,"A","8",24,166,247.949,2.1012627119,1.158,26.097,8,9.64848865539745
"140",650,"A","9",20,170,218.141,2.7267625,1.5195,22.291,7,11.0623987754314
"141",700,"A","1",13,167,202.14,1.9251428571,0.796,42.924,6,20.3176442203979
"142",700,"A","1",13,167,277.51,1.38755,0.816,32.869,6,20.3176442203979
"143",700,"A","10",25,185,150.044,1.6309130435,0.9495,14.334,5,3.21455025366432
"144",700,"A","10",25,185,115.217,1.7457121212,1.0215,7.884,5,3.21455025366432
"145",700,"A","10b",36,173,NA,NA,NA,NA,16,10.7155650029914
"146",700,"A","11",20,200,83.406,1.3673114754,0.856,8.157,3,2.9
"147",700,"A","11",20,200,283.768,1.8668947368,1.0115,39.587,3,2.9
"148",700,"A","11b",38,190,NA,NA,NA,NA,12,9.03732998918006
"149",700,"A","12",19,193,264.011,3.8825147059,1.398,49.775,1,3.7
"150",700,"A","12",19,193,145.686,1.5835434783,0.987,27.549,1,3.7
"151",700,"A","12b",39,170,NA,NA,NA,NA,14,9.83192080250175
"152",700,"A","13",15,195,185.458,1.9119381443,1.205,15.836,10,10.7155650029914
"153",700,"A","13",15,195,411.665,2.6388782051,1.1435,65.782,10,10.7155650029914
"154",700,"A","13b",29,170,NA,NA,NA,NA,17,17.6080474026319
"155",700,"A","14",20,198,258.604,2.02034375,1.2245,13.852,10,5.1713956852414
"156",700,"A","14",20,198,214.447,2.6474938272,0.967,37.979,10,5.1713956852414
"157",700,"A","14b",19,175,NA,NA,NA,NA,11,8.76546252820314
"158",700,"A","15",28,197,234.113,2.6012555556,1.0815,44.502,5,6.53885820817875
"159",700,"A","15",28,197,70.739,2.619962963,1.064,18.267,5,6.53885820817875
"160",700,"A","15b",31,173,NA,NA,NA,NA,6,4.60181123761793
"161",700,"A","16",39,187,364.165,3.1944298246,1.667,37.746,5,10.9965145993325
"162",700,"A","17",26,203,278.85,6.3375,3.723,82.164,7,11.2460363387877
"163",700,"A","18",18,205,264.46,2.592745098,1.189,35.745,3,10.4120122935002
"164",700,"A","19",29,195,NA,NA,NA,NA,4,16.6505255172322
"165",700,"A","1b",31,215,NA,NA,NA,NA,14,6.09289203361863
"166",700,"A","2",34,157,307.134,1.5750461538,0.921,17.88,4,17.1680905558345
"167",700,"A","2",34,157,189.937,3.0635,0.9435,95.609,4,17.1680905558345
"168",700,"A","20",22,190,NA,NA,NA,NA,6,9.57287835501945
"169",700,"A","2b",30,190,NA,NA,NA,NA,11,8.43860177991591
"170",700,"A","3",22,160,367.829,2.29893125,1.393,20.641,3,11.3332843136195
"171",700,"A","3b",34,193,NA,NA,NA,NA,10,13.0796279253909
"172",700,"A","4",23,166,365.588,3.6928080808,1.636,37.816,5,10.041580220928
"173",700,"A","4",23,166,124.939,1.1462293578,0.774,6.485,5,10.041580220928
"174",700,"A","4b",30,170,NA,NA,NA,NA,5,5.18394958823225
"175",700,"A","5",18,165,241.4,1.463030303,0.956,9.526,4,5.52961722605342
"176",700,"A","5",18,165,130.063,2.4085740741,1.159,14.971,4,5.52961722605342
"177",700,"A","5b",41,208,NA,NA,NA,NA,19,9.3719439463397
"178",700,"A","6",17,160,200.401,2.0242525253,0.965,23.919,13,5.61307996261114
"179",700,"A","6",17,160,298.016,2.2407218045,1.023,31.82,13,5.61307996261114
"180",700,"A","6b",34,180,NA,NA,NA,NA,15,8.32506256232748
"181",700,"A","7",28,156,193.838,1.957959596,1.029,22.036,11,4.47139053688373
"182",700,"A","7",28,156,209.109,3.2170615385,1.161,93.558,11,4.47139053688373
"183",700,"A","7b",47,180,NA,NA,NA,NA,15,17.2778277955689
"184",700,"A","8",21,158,98.146,1.7218596491,0.745,19.986,4,4.08248290463863
"185",700,"A","8",21,158,195.297,1.4050143885,0.86,12.475,4,4.08248290463863
"186",700,"A","8b",35,170,NA,NA,NA,NA,8,6.78232998312527
"187",700,"A","9",21,175,44.816,1.4456774194,1.126,8.065,6,4.66619045189256
"188",700,"A","9",21,175,184.045,1.7528095238,1.123,15.527,6,4.66619045189256
"189",700,"A","9b",38,178,NA,NA,NA,NA,8,8.97719332531053
"190",700,"B","1",46,202,NA,NA,NA,NA,14,52.8312407577183
"191",700,"B","10",34,171,NA,NA,NA,NA,10,9.15732857697411
"192",700,"B","2",32,188,NA,NA,NA,NA,19,27.9059730762669
"193",700,"B","3",53,191,NA,NA,NA,NA,26,50.9652823007977
"194",700,"B","4",42,185,NA,NA,NA,NA,11,31.1956193505862
"195",700,"B","5",27,188,NA,NA,NA,NA,5,9.78808799851466
"196",700,"B","6",46,202,NA,NA,NA,NA,11,26.3566563382636
"197",700,"B","7",27,175,NA,NA,NA,NA,1,7.3143694191639
"198",700,"B","8",35,174,NA,NA,NA,NA,4,6.99952379332575
"199",700,"B","9",25,171,NA,NA,NA,NA,4,10.3882946948316
"200",750,"A","1",27,200,197.941,1.4662296296,0.934,8.021,17,9.65660395791398
"201",750,"A","10",30,171,442.49,2.5876608187,1.45,41.865,6,8.96325833611862
"202",750,"A","11",27,167,58.102,1.45255,0.9075,10.663,8,9.01812988743601
"203",750,"A","12",30,157,142.026,2.5361785714,0.9205,37.918,11,5.31256372510799
"204",750,"A","13",37,160,130.624,1.2681941748,0.765,27.022,9,7.90569415042095
"205",750,"A","14",27,162,87.667,1.3915396825,0.95,14.192,7,5.1487862647424
"206",750,"A","15",39,160,112.183,5.0992272727,1.6165,43.582,16,9.05685743879557
"207",750,"A","16",40,170,191.417,3.1379836066,1.535,24.168,13,10.3056618742644
"208",750,"A","17",26,169,164.803,2.0600375,0.9815,28.865,7,20.9776071085336
"209",750,"A","18",20,175,90.848,1.4195,0.86,25.305,12,3.72290209379726
"210",750,"A","19",26,175,120.217,1.5412435897,0.9485,8.722,10,2.58392466350447
"211",750,"A","2",32,195,296.132,1.6921828571,1.072,20.369,16,10.1107203831709
"212",750,"A","20",39,173,247.857,3.0982125,1.1095,65.848,12,14.5415496652409
"213",750,"A","3",30,185,185.59,2.5423287671,1.091,40.025,17,20.2691884395996
"214",750,"A","4",35,176,350.523,1.6227916667,1.11,13.107,16,14.8940704084993
"215",750,"A","5",41,180,55.988,1.9306206897,0.955,6.699,15,11.8004237212059
"216",750,"A","6",31,173,343.169,2.433822695,1.058,98.486,13,12.3861481771641
"217",750,"A","7",41,185,112.236,2.4941333333,0.976,21.105,15,15.6368155325821
"218",750,"A","8",42,170,121.98,1.767826087,1.069,8.128,12,80.383704816337
"219",750,"A","9",21,173,351.014,2.1938375,1.4675,35.872,5,9.25418824100742
"220",800,"A","1",31,160,259.234,2.5666732673,1.312,23.154,13,9.58331884056875
"221",800,"A","10",30,167,155.353,1.1017943262,0.824,9.448,15,11.0908370588818
"222",800,"A","11",37,165,107.776,2.4494545455,1.2195,19.712,16,16.8605061213081
"223",800,"A","12",32,165,69.371,2.6681153846,0.7405,44.245,10,8.88350531415762
"224",800,"A","13",30,165,223.82,1.7216923077,1.116,19.395,13,16.8935885274069
"225",800,"A","14",35,165,324.163,2.7013583333,1.1805,102.73,15,22.8183405765333
"226",800,"A","15",17,165,499.668,3.7853636364,1.7015,40.027,13,13.8836834689742
"227",800,"A","16",45,180,276.117,12.5507727273,3.2625,147.018,15,17.2077501918951
"228",800,"A","17",27,170,136.283,1.7035375,0.8515,33.757,9,6.000833275471
"229",800,"A","18",39,170,120.793,2.5165208333,1.1645,29.926,14,10.4686834575
"230",800,"A","19",24,166,145.554,2.7463018868,0.921,35.839,8,4.64578662158878
"231",800,"A","2",29,180,373.183,1.6225347826,1.117,7.092,10,6.09562684772179
"232",800,"A","20",37,170,36.072,1.44288,0.916,11.717,6,10.1533245786787
"233",800,"A","3",33,184,213.932,1.5502318841,0.9795,15.382,13,6.67083203206317
"234",800,"A","4",30,136,61.585,1.4322093023,0.908,10.049,9,7.76809715009624
"235",800,"A","5",37,182,68.694,1.8077368421,1.274,10.346,7,7.68656837173347
"236",800,"A","6",34,160,145.341,1.3583271028,0.982,11.969,11,18.737484712024
"237",800,"A","7",40,165,151.719,1.827939759,1.058,11.994,10,9.25562891794321
"238",800,"A","8",35,165,125.526,1.04605,0.75,6.617,8,4.43019939355631
"239",800,"A","9",34,165,71.741,1.120953125,0.8075,6.33,10,8.29618386167198
"240",800,"B","1",35,191,NA,NA,NA,NA,9,6.75771164423776
"241",800,"B","10",19,198,NA,NA,NA,NA,11,21.3092311764956
"242",800,"B","2",25,257,NA,NA,NA,NA,10,33.7365775778556
"243",800,"B","3",15,242,NA,NA,NA,NA,8,26.4386081328046
"244",800,"B","4",45,196,NA,NA,NA,NA,17,41.0693316234876
"245",800,"B","5",32,251,NA,NA,NA,NA,10,34.5486130932439
"246",800,"B","6",22,187,NA,NA,NA,NA,6,13.7025545063685
"247",800,"B","7",6,198,NA,NA,NA,NA,9,17.0535431313652
"248",800,"B","8",32,195,NA,NA,NA,NA,6,8.91571646027396
"249",800,"B","9",53,195,NA,NA,NA,NA,11,33.3133106530508
"250",850,"A","1",29,175,66.78,1.1318644068,0.776,6.614,1,7.57231800705702
"251",850,"A","10",29,190,214.009,1.3544873418,0.8295,17.445,5,3.16596483450675
"252",850,"A","11",27,195,313.072,2.0329350649,0.922,58.455,8,3.35509562705248
"253",850,"A","12",27,190,216.67,1.6796124031,1.035,17.956,3,2.76767050061961
"254",850,"A","13",27,190,244.148,1.5452405063,1.01,9.343,6,39.9316916746586
"255",850,"A","14",32,185,435.234,9.2602978723,2.015,170.359,14,18.7978722200147
"256",850,"A","15",24,190,282.746,1.8009299363,0.936,39.839,3,7.09741737065909
"257",850,"A","16",24,188,248.562,1.5156219512,0.862,28.571,6,6.08468021619323
"258",850,"A","17",25,195,285.358,1.7399878049,0.8965,33.079,5,4.90679800548858
"259",850,"A","18",25,190,276.636,1.3560588235,0.9635,9.976,8,3.67423461417477
"260",850,"A","19",24,197,386.353,1.9611827411,1.103,20.638,8,5.54767218449925
"261",850,"A","2",30,170,149.236,1.4775841584,0.988,21.228,2,5.8489315263559
"262",850,"A","20",24,155,341.65,1.6913366337,0.9055,17.051,6,5.73788578949889
"263",850,"A","3",35,180,175.694,2.0669882353,0.83,61.971,3,13.0387882872604
"264",850,"A","4",30,180,144.418,1.3624339623,1.0385,8.002,2,3.27261363439071
"265",850,"A","5",30,180,140.945,1.1745416667,0.8015,6.547,2,4.10406302745625
"266",850,"A","6",27,200,172.84,1.3295384615,0.9135,8.619,4,4.39393521420909
"267",850,"A","7",28,200,333.907,2.1267961783,1.225,17.065,5,3.61109401705356
"268",850,"A","8",27,190,292.453,2.339624,1.064,84.13,8,6.44153190889662
"269",850,"A","9",33,190,366.342,2.3186202532,1.105,33.149,10,8.12855050629159
"270",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
