Elevation,Transect,Quadrat,Species,Height
800,B,10,RocCer,27
800,B,10,Niebla,16
800,B,10,Niebla,10
800,B,10,Niebla,20
800,B,10,Niebla,13
800,B,10,Niebla,10
800,B,10,Niebla,16
800,B,10,Niebla,13
800,B,10,Niebla,16
800,B,10,Niebla,15
800,B,10,Niebla,13
