,Elevation,Transect,Quadrat,Point_1,Point_2,Depth
148,450,A,6,E,3,40
149,450,A,6,E,4,49
150,450,A,6,E,5,30
151,450,A,7,A,1,10
152,450,A,7,A,2,12
153,450,A,7,A,3,22
154,450,A,7,A,4,26
155,450,A,7,A,5,23
156,450,A,7,B,1,10
157,450,A,7,B,2,29
158,450,A,7,B,3,26
159,450,A,7,B,4,23
160,450,A,7,B,5,24
161,450,A,7,C,1,12
162,450,A,7,C,2,23
163,450,A,7,C,3,25
164,450,A,7,C,4,25
165,450,A,7,C,5,24
166,450,A,7,D,1,25
167,450,A,7,D,2,25
168,450,A,7,D,3,21
169,450,A,7,D,4,22
170,450,A,7,D,5,21
171,450,A,7,E,1,21
172,450,A,7,E,2,22
173,450,A,7,E,3,18
174,450,A,7,E,4,17
175,450,A,7,E,5,15
176,450,A,8,A,1,23
177,450,A,8,A,2,20
178,450,A,8,A,3,16
179,450,A,8,A,4,23
180,450,A,8,A,5,23
181,450,A,8,B,1,24
182,450,A,8,B,2,22
183,450,A,8,B,3,21
184,450,A,8,B,4,22
185,450,A,8,B,5,23
186,450,A,8,C,1,21
187,450,A,8,C,2,22
188,450,A,8,C,3,19
189,450,A,8,C,4,17
190,450,A,8,C,5,17
191,450,A,8,D,1,17
192,450,A,8,D,2,16
193,450,A,8,D,3,18
194,450,A,8,D,4,16
195,450,A,8,D,5,17
196,450,A,8,E,1,17
197,450,A,8,E,2,15
198,450,A,8,E,3,13
199,450,A,8,E,4,13
200,450,A,8,E,5,15
201,450,A,9,A,1,23
202,450,A,9,A,2,23
203,450,A,9,A,3,23
204,450,A,9,A,4,22
205,450,A,9,A,5,20
206,450,A,9,B,1,25
207,450,A,9,B,2,25
208,450,A,9,B,3,25
209,450,A,9,B,4,20
210,450,A,9,B,5,22
211,450,A,9,C,1,26
212,450,A,9,C,2,28
213,450,A,9,C,3,21
214,450,A,9,C,4,20
215,450,A,9,C,5,20
216,450,A,9,D,1,17
217,450,A,9,D,2,25
218,450,A,9,D,3,22
219,450,A,9,D,4,20
220,450,A,9,D,5,18
221,450,A,9,E,1,20
222,450,A,9,E,2,22
223,450,A,9,E,3,20
224,450,A,9,E,4,16
225,450,A,9,E,5,5
226,450,A,10,A,1,10
227,450,A,10,A,2,25
228,450,A,10,A,3,27
229,450,A,10,A,4,30
230,450,A,10,A,5,27
231,450,A,10,B,1,25
232,450,A,10,B,2,3
233,450,A,10,B,3,27
234,450,A,10,B,4,30
235,450,A,10,B,5,30
236,450,A,10,C,1,25
237,450,A,10,C,2,26
238,450,A,10,C,3,28
239,450,A,10,C,4,30
240,450,A,10,C,5,26
241,450,A,10,D,1,25
242,450,A,10,D,2,30
243,450,A,10,D,3,29
244,450,A,10,D,4,28
245,450,A,10,D,5,26
246,450,A,10,E,1,23
247,450,A,10,E,2,27
248,450,A,10,E,3,24
249,450,A,10,E,4,26
250,450,A,10,E,5,16
251,450,A,11,A,1,10
252,450,A,11,A,2,15
253,450,A,11,A,3,16
254,450,A,11,A,4,20
255,450,A,11,A,5,24
256,450,A,11,B,1,10
257,450,A,11,B,2,15
258,450,A,11,B,3,16
259,450,A,11,B,4,16
260,450,A,11,B,5,24
261,450,A,11,C,1,16
262,450,A,11,C,2,17
263,450,A,11,C,3,15
264,450,A,11,C,4,15
265,450,A,11,C,5,24
266,450,A,11,D,1,15
267,450,A,11,D,2,15
268,450,A,11,D,3,16
269,450,A,11,D,4,14
270,450,A,11,D,5,23
271,450,A,11,E,1,13
272,450,A,11,E,2,17
273,450,A,11,E,3,11
274,450,A,11,E,4,12
275,450,A,11,E,5,15
276,450,A,12,A,1,40
277,450,A,12,A,2,42
278,450,A,12,A,3,40
279,450,A,12,A,4,35
280,450,A,12,A,5,36
281,450,A,12,B,1,41
282,450,A,12,B,2,40
283,450,A,12,B,3,37
284,450,A,12,B,4,41
285,450,A,12,B,5,32
286,450,A,12,C,1,36
287,450,A,12,C,2,37
288,450,A,12,C,3,32
289,450,A,12,C,4,39
290,450,A,12,C,5,21
291,450,A,12,D,1,32
292,450,A,12,D,2,30
293,450,A,12,D,3,30
294,450,A,12,D,4,30
295,450,A,12,D,5,17
296,450,A,12,E,1,29
297,450,A,12,E,2,24
298,450,A,12,E,3,23
299,450,A,12,E,4,26
300,450,A,12,E,5,22
301,450,A,13,A,1,15
302,450,A,13,A,2,17
303,450,A,13,A,3,2
304,450,A,13,A,4,15
305,450,A,13,A,5,17
306,450,A,13,B,1,20
307,450,A,13,B,2,23
308,450,A,13,B,3,8
309,450,A,13,B,4,17
310,450,A,13,B,5,20
311,450,A,13,C,1,22
312,450,A,13,C,2,27
313,450,A,13,C,3,19
314,450,A,13,C,4,18
315,450,A,13,C,5,22
316,450,A,13,D,1,30
317,450,A,13,D,2,27
318,450,A,13,D,3,27
319,450,A,13,D,4,19
320,450,A,13,D,5,20
321,450,A,13,E,1,30
322,450,A,13,E,2,30
323,450,A,13,E,3,24
324,450,A,13,E,4,17
325,450,A,13,E,5,23
326,450,A,14,A,1,21
327,450,A,14,A,2,29
328,450,A,14,A,3,27
329,450,A,14,A,4,40
330,450,A,14,A,5,45
331,450,A,14,B,1,24
332,450,A,14,B,2,35
333,450,A,14,B,3,33
334,450,A,14,B,4,42
335,450,A,14,B,5,50
336,450,A,14,C,1,23
337,450,A,14,C,2,30
338,450,A,14,C,3,42
339,450,A,14,C,4,45
340,450,A,14,C,5,50
341,450,A,14,D,1,23
342,450,A,14,D,2,30
343,450,A,14,D,3,41
344,450,A,14,D,4,45
345,450,A,14,D,5,47
346,450,A,14,E,1,26
347,450,A,14,E,2,27
348,450,A,14,E,3,36
349,450,A,14,E,4,45
350,450,A,14,E,5,50
351,450,A,15,A,1,5
352,450,A,15,A,2,10
353,450,A,15,A,3,10
354,450,A,15,A,4,10
355,450,A,15,A,5,10
356,450,A,15,B,1,8
357,450,A,15,B,2,7
358,450,A,15,B,3,11
359,450,A,15,B,4,7
360,450,A,15,B,5,11
361,450,A,15,C,1,11
362,450,A,15,C,2,10
363,450,A,15,C,3,11
364,450,A,15,C,4,12
365,450,A,15,C,5,13
366,450,A,15,D,1,11
367,450,A,15,D,2,12
368,450,A,15,D,3,11
369,450,A,15,D,4,8
370,450,A,15,D,5,15
371,450,A,15,E,1,10
372,450,A,15,E,2,9
373,450,A,15,E,3,7
374,450,A,15,E,4,6
375,450,A,15,E,5,10
376,450,A,16,A,1,5
377,450,A,16,A,2,10
378,450,A,16,A,3,12
379,450,A,16,A,4,10
380,450,A,16,A,5,12
381,450,A,16,B,1,11
382,450,A,16,B,2,12
383,450,A,16,B,3,13
384,450,A,16,B,4,12
385,450,A,16,B,5,14
386,450,A,16,C,1,10
387,450,A,16,C,2,10
388,450,A,16,C,3,12
389,450,A,16,C,4,12
390,450,A,16,C,5,16
391,450,A,16,D,1,10
392,450,A,16,D,2,9
393,450,A,16,D,3,10
394,450,A,16,D,4,9
395,450,A,16,D,5,15
396,450,A,16,E,1,10
397,450,A,16,E,2,10
398,450,A,16,E,3,10
399,450,A,16,E,4,9
400,450,A,16,E,5,10
401,450,A,17,A,1,11
402,450,A,17,A,2,10
403,450,A,17,A,3,9
404,450,A,17,A,4,9
405,450,A,17,A,5,10
406,450,A,17,B,1,11
407,450,A,17,B,2,10
408,450,A,17,B,3,10
409,450,A,17,B,4,10
410,450,A,17,B,5,12
411,450,A,17,C,1,12
412,450,A,17,C,2,11
413,450,A,17,C,3,9
414,450,A,17,C,4,10
415,450,A,17,C,5,11
416,450,A,17,D,1,12
417,450,A,17,D,2,10
418,450,A,17,D,3,10
419,450,A,17,D,4,10
420,450,A,17,D,5,12
421,450,A,17,E,1,11
422,450,A,17,E,2,8
423,450,A,17,E,3,8
424,450,A,17,E,4,6
425,450,A,17,E,5,9
426,450,A,18,A,1,20
427,450,A,18,A,2,25
428,450,A,18,A,3,20
429,450,A,18,A,4,20
430,450,A,18,A,5,20
431,450,A,18,B,1,21
432,450,A,18,B,2,20
433,450,A,18,B,3,14
434,450,A,18,B,4,16
435,450,A,18,B,5,20
436,450,A,18,C,1,20
437,450,A,18,C,2,20
438,450,A,18,C,3,23
439,450,A,18,C,4,20
440,450,A,18,C,5,20
441,450,A,18,D,1,20
442,450,A,18,D,2,19
443,450,A,18,D,3,20
444,450,A,18,D,4,17
445,450,A,18,D,5,20
446,450,A,18,E,1,16
447,450,A,18,E,2,17
448,450,A,18,E,3,17
449,450,A,18,E,4,12
450,450,A,18,E,5,13
451,450,A,19,A,1,9
452,450,A,19,A,2,9
453,450,A,19,A,3,14
454,450,A,19,A,4,16
455,450,A,19,A,5,19
456,450,A,19,B,1,15
457,450,A,19,B,2,15
458,450,A,19,B,3,15
459,450,A,19,B,4,17
460,450,A,19,B,5,16
461,450,A,19,C,1,17
462,450,A,19,C,2,16
463,450,A,19,C,3,13
464,450,A,19,C,4,18
465,450,A,19,C,5,19
466,450,A,19,D,1,18
467,450,A,19,D,2,16
468,450,A,19,D,3,17
469,450,A,19,D,4,17
470,450,A,19,D,5,20
471,450,A,19,E,1,18
472,450,A,19,E,2,13
473,450,A,19,E,3,17
474,450,A,19,E,4,20
475,450,A,19,E,5,19
476,450,A,20,A,1,12
477,450,A,20,A,2,15
478,450,A,20,A,3,20
479,450,A,20,A,4,18
480,450,A,20,A,5,21
481,450,A,20,B,1,12
482,450,A,20,B,2,15
483,450,A,20,B,3,17
484,450,A,20,B,4,19
485,450,A,20,B,5,20
486,450,A,20,C,1,14
487,450,A,20,C,2,16
488,450,A,20,C,3,18
489,450,A,20,C,4,14
490,450,A,20,C,5,20
491,450,A,20,D,1,13
492,450,A,20,D,2,14
493,450,A,20,D,3,15
494,450,A,20,D,4,12
495,450,A,20,D,5,20
496,450,A,20,E,1,8
497,450,A,20,E,2,12
498,450,A,20,E,3,12
499,450,A,20,E,4,10
500,450,A,20,E,5,14
501,500,A,1,A,1,27
502,500,A,1,A,2,119
503,500,A,1,A,3,130
504,500,A,1,A,4,150
505,500,A,1,A,5,80
506,500,A,1,B,1,68
507,500,A,1,B,2,140
508,500,A,1,B,3,146
509,500,A,1,B,4,147
510,500,A,1,B,5,121
511,500,A,1,C,1,120
512,500,A,1,C,2,137
513,500,A,1,C,3,150
514,500,A,1,C,4,146
515,500,A,1,C,5,142
516,500,A,1,D,1,139
517,500,A,1,D,2,150
518,500,A,1,D,3,107
519,500,A,1,D,4,114
520,500,A,1,D,5,106
521,500,A,1,E,1,85
522,500,A,1,E,2,61
523,500,A,1,E,3,47
524,500,A,1,E,4,51
525,500,A,1,E,5,64
526,500,A,2,A,1,7
527,500,A,2,A,2,10
528,500,A,2,A,3,10
529,500,A,2,A,4,4
530,500,A,2,A,5,7
531,500,A,2,B,1,9
532,500,A,2,B,2,9
533,500,A,2,B,3,10
534,500,A,2,B,4,6
535,500,A,2,B,5,7
536,500,A,2,C,1,10
537,500,A,2,C,2,6
538,500,A,2,C,3,7
539,500,A,2,C,4,5
540,500,A,2,C,5,13
541,500,A,2,D,1,12
542,500,A,2,D,2,6
543,500,A,2,D,3,9
544,500,A,2,D,4,5
545,500,A,2,D,5,13
546,500,A,2,E,1,10
547,500,A,2,E,2,9
548,500,A,2,E,3,10
549,500,A,2,E,4,7
550,500,A,2,E,5,15
551,500,A,3,A,1,20
552,500,A,3,A,2,20
553,500,A,3,A,3,64
554,500,A,3,A,4,2
555,500,A,3,A,5,15
556,500,A,3,B,1,46
557,500,A,3,B,2,50
558,500,A,3,B,3,48
559,500,A,3,B,4,60
560,500,A,3,B,5,60
561,500,A,3,C,1,46
562,500,A,3,C,2,50
563,500,A,3,C,3,55
564,500,A,3,C,4,61
565,500,A,3,C,5,69
566,500,A,3,D,1,43
567,500,A,3,D,2,50
568,500,A,3,D,3,50
569,500,A,3,D,4,58
570,500,A,3,D,5,65
571,500,A,3,E,1,40
572,500,A,3,E,2,34
573,500,A,3,E,3,36
574,500,A,3,E,4,47
575,500,A,3,E,5,56
576,500,A,4,A,1,20
577,500,A,4,A,2,36
578,500,A,4,A,3,17
579,500,A,4,A,4,30
580,500,A,4,A,5,21
581,500,A,4,B,1,40
582,500,A,4,B,2,35
583,500,A,4,B,3,29
584,500,A,4,B,4,27
585,500,A,4,B,5,22
586,500,A,4,C,1,39
587,500,A,4,C,2,37
588,500,A,4,C,3,34
589,500,A,4,C,4,29
590,500,A,4,C,5,23
591,500,A,4,D,1,35
592,500,A,4,D,2,31
593,500,A,4,D,3,30
594,500,A,4,D,4,26
595,500,A,4,D,5,36
596,500,A,4,E,1,27
597,500,A,4,E,2,29
598,500,A,4,E,3,27
599,500,A,4,E,4,23
600,500,A,4,E,5,26
601,500,A,5,A,1,31
602,500,A,5,A,2,32
603,500,A,5,A,3,31
604,500,A,5,A,4,36
605,500,A,5,A,5,36
606,500,A,5,B,1,32
607,500,A,5,B,2,30
608,500,A,5,B,3,35
609,500,A,5,B,4,37
610,500,A,5,B,5,40
611,500,A,5,C,1,24
612,500,A,5,C,2,33
613,500,A,5,C,3,31
614,500,A,5,C,4,38
615,500,A,5,C,5,40
616,500,A,5,D,1,25
617,500,A,5,D,2,29
618,500,A,5,D,3,30
619,500,A,5,D,4,35
620,500,A,5,D,5,40
621,500,A,5,E,1,22
622,500,A,5,E,2,22
623,500,A,5,E,3,30
624,500,A,5,E,4,32
625,500,A,5,E,5,34
626,500,A,6,A,1,24
627,500,A,6,A,2,30
628,500,A,6,A,3,24
629,500,A,6,A,4,20
630,500,A,6,A,5,13
631,500,A,6,B,1,30
632,500,A,6,B,2,24
633,500,A,6,B,3,19
634,500,A,6,B,4,25
635,500,A,6,B,5,15
636,500,A,6,C,1,30
637,500,A,6,C,2,30
638,500,A,6,C,3,32
639,500,A,6,C,4,30
640,500,A,6,C,5,30
641,500,A,6,D,1,29
642,500,A,6,D,2,24
643,500,A,6,D,3,27
644,500,A,6,D,4,35
645,500,A,6,D,5,33
646,500,A,6,E,1,25
647,500,A,6,E,2,30
648,500,A,6,E,3,21
649,500,A,6,E,4,26
650,500,A,6,E,5,30
651,500,A,7,A,1,27
652,500,A,7,A,2,25
653,500,A,7,A,3,21
654,500,A,7,A,4,17
655,500,A,7,A,5,20
656,500,A,7,B,1,27
657,500,A,7,B,2,26
658,500,A,7,B,3,21
659,500,A,7,B,4,15
660,500,A,7,B,5,21
661,500,A,7,C,1,27
662,500,A,7,C,2,26
663,500,A,7,C,3,20
664,500,A,7,C,4,7
665,500,A,7,C,5,21
666,500,A,7,D,1,25
667,500,A,7,D,2,24
668,500,A,7,D,3,23
669,500,A,7,D,4,21
670,500,A,7,D,5,19
671,500,A,7,E,1,26
672,500,A,7,E,2,19
673,500,A,7,E,3,22
674,500,A,7,E,4,18
675,500,A,7,E,5,19
676,500,A,8,A,1,25
677,500,A,8,A,2,25
678,500,A,8,A,3,16
679,500,A,8,A,4,11
680,500,A,8,A,5,13
681,500,A,8,B,1,26
682,500,A,8,B,2,21
683,500,A,8,B,3,24
684,500,A,8,B,4,15
685,500,A,8,B,5,19
686,500,A,8,C,1,25
687,500,A,8,C,2,21
688,500,A,8,C,3,16
689,500,A,8,C,4,17
690,500,A,8,C,5,21
691,500,A,8,D,1,21
692,500,A,8,D,2,26
693,500,A,8,D,3,23
694,500,A,8,D,4,19
695,500,A,8,D,5,26
696,500,A,8,E,1,23
697,500,A,8,E,2,27
698,500,A,8,E,3,22
699,500,A,8,E,4,16
700,500,A,8,E,5,25
701,500,A,9,A,1,16
702,500,A,9,A,2,23
703,500,A,9,A,3,25
704,500,A,9,A,4,31
705,500,A,9,A,5,35
706,500,A,9,B,1,17
707,500,A,9,B,2,20
708,500,A,9,B,3,32
709,500,A,9,B,4,30
710,500,A,9,B,5,36
711,500,A,9,C,1,20
712,500,A,9,C,2,22
713,500,A,9,C,3,30
714,500,A,9,C,4,30
715,500,A,9,C,5,37
716,500,A,9,D,1,0
717,500,A,9,D,2,25
718,500,A,9,D,3,29
719,500,A,9,D,4,32
720,500,A,9,D,5,33
721,500,A,9,E,1,14
722,500,A,9,E,2,17
723,500,A,9,E,3,27
724,500,A,9,E,4,25
725,500,A,9,E,5,44
726,500,A,10,A,1,31
727,500,A,10,A,2,20
728,500,A,10,A,3,35
729,500,A,10,A,4,39
730,500,A,10,A,5,43
731,500,A,10,B,1,31
732,500,A,10,B,2,31
733,500,A,10,B,3,9
734,500,A,10,B,4,25
735,500,A,10,B,5,37
736,500,A,10,C,1,27
737,500,A,10,C,2,33
738,500,A,10,C,3,12
739,500,A,10,C,4,26
740,500,A,10,C,5,33
741,500,A,10,D,1,23
742,500,A,10,D,2,27
743,500,A,10,D,3,30
744,500,A,10,D,4,26
745,500,A,10,D,5,31
746,500,A,10,E,1,16
747,500,A,10,E,2,17
748,500,A,10,E,3,24
749,500,A,10,E,4,22
750,500,A,10,E,5,20
751,500,A,11,A,1,29
752,500,A,11,A,2,29
753,500,A,11,A,3,28
754,500,A,11,A,4,26
755,500,A,11,A,5,27
756,500,A,11,B,1,28
757,500,A,11,B,2,26
758,500,A,11,B,3,22
759,500,A,11,B,4,24
760,500,A,11,B,5,23
761,500,A,11,C,1,33
762,500,A,11,C,2,27
763,500,A,11,C,3,12
764,500,A,11,C,4,13
765,500,A,11,C,5,18
766,500,A,11,D,1,26
767,500,A,11,D,2,22
768,500,A,11,D,3,21
769,500,A,11,D,4,20
770,500,A,11,D,5,7
771,500,A,11,E,1,22
772,500,A,11,E,2,17
773,500,A,11,E,3,22
774,500,A,11,E,4,18
775,500,A,11,E,5,13
776,500,A,12,A,1,20
777,500,A,12,A,2,21
778,500,A,12,A,3,21
779,500,A,12,A,4,20
780,500,A,12,A,5,25
781,500,A,12,B,1,22
782,500,A,12,B,2,22
783,500,A,12,B,3,22
784,500,A,12,B,4,26
785,500,A,12,B,5,29
786,500,A,12,C,1,13
787,500,A,12,C,2,20
788,500,A,12,C,3,23
789,500,A,12,C,4,23
790,500,A,12,C,5,33
791,500,A,12,D,1,33
792,500,A,12,D,2,2
793,500,A,12,D,3,7
794,500,A,12,D,4,32
795,500,A,12,D,5,31
796,500,A,12,E,1,35
797,500,A,12,E,2,32
798,500,A,12,E,3,36
799,500,A,12,E,4,21
800,500,A,12,E,5,33
801,500,A,13,A,1,15
802,500,A,13,A,2,17
803,500,A,13,A,3,23
804,500,A,13,A,4,26
805,500,A,13,A,5,25
806,500,A,13,B,1,15
807,500,A,13,B,2,17
808,500,A,13,B,3,16
809,500,A,13,B,4,24
810,500,A,13,B,5,24
811,500,A,13,C,1,15
812,500,A,13,C,2,13
813,500,A,13,C,3,18
814,500,A,13,C,4,14
815,500,A,13,C,5,21
816,500,A,13,D,1,15
817,500,A,13,D,2,10
818,500,A,13,D,3,13
819,500,A,13,D,4,17
820,500,A,13,D,5,16
821,500,A,13,E,1,23
822,500,A,13,E,2,20
823,500,A,13,E,3,15
824,500,A,13,E,4,11
825,500,A,13,E,5,13
826,500,A,14,A,1,18
827,500,A,14,A,2,30
828,500,A,14,A,3,32
829,500,A,14,A,4,28
830,500,A,14,A,5,15
831,500,A,14,B,1,25
832,500,A,14,B,2,6
833,500,A,14,B,3,33
834,500,A,14,B,4,33
835,500,A,14,B,5,18
836,500,A,14,C,1,24
837,500,A,14,C,2,24
838,500,A,14,C,3,30
839,500,A,14,C,4,31
840,500,A,14,C,5,2
841,500,A,14,D,1,24
842,500,A,14,D,2,24
843,500,A,14,D,3,22
844,500,A,14,D,4,22
845,500,A,14,D,5,31
846,500,A,14,E,1,19
847,500,A,14,E,2,20
848,500,A,14,E,3,24
849,500,A,14,E,4,20
850,500,A,14,E,5,26
851,500,A,15,A,1,5
852,500,A,15,A,2,91
853,500,A,15,A,3,89
854,500,A,15,A,4,84
855,500,A,15,A,5,85
856,500,A,15,B,1,72
857,500,A,15,B,2,70
858,500,A,15,B,3,71
859,500,A,15,B,4,76
860,500,A,15,B,5,74
861,500,A,15,C,1,55
862,500,A,15,C,2,48
863,500,A,15,C,3,61
864,500,A,15,C,4,61
865,500,A,15,C,5,65
866,500,A,15,D,1,40
867,500,A,15,D,2,47
868,500,A,15,D,3,46
869,500,A,15,D,4,46
870,500,A,15,D,5,50
871,500,A,15,E,1,32
872,500,A,15,E,2,29
873,500,A,15,E,3,31
874,500,A,15,E,4,31
875,500,A,15,E,5,34
876,500,A,16,A,1,11
877,500,A,16,A,2,15
878,500,A,16,A,3,18
879,500,A,16,A,4,18
880,500,A,16,A,5,16
881,500,A,16,B,1,12
882,500,A,16,B,2,15
883,500,A,16,B,3,15
884,500,A,16,B,4,15
885,500,A,16,B,5,16
886,500,A,16,C,1,12
887,500,A,16,C,2,15
888,500,A,16,C,3,13
889,500,A,16,C,4,15
890,500,A,16,C,5,17
891,500,A,16,D,1,6
892,500,A,16,D,2,15
893,500,A,16,D,3,15
894,500,A,16,D,4,10
895,500,A,16,D,5,13
896,500,A,16,E,1,20
897,500,A,16,E,2,18
898,500,A,16,E,3,13
899,500,A,16,E,4,11
900,500,A,16,E,5,9
901,500,A,17,A,1,21
902,500,A,17,A,2,12
903,500,A,17,A,3,16
904,500,A,17,A,4,15
905,500,A,17,A,5,16
906,500,A,17,B,1,21
907,500,A,17,B,2,20
908,500,A,17,B,3,19
909,500,A,17,B,4,18
910,500,A,17,B,5,19
911,500,A,17,C,1,20
912,500,A,17,C,2,19
913,500,A,17,C,3,18
914,500,A,17,C,4,20
915,500,A,17,C,5,20
916,500,A,17,D,1,22
917,500,A,17,D,2,20
918,500,A,17,D,3,20
919,500,A,17,D,4,19
920,500,A,17,D,5,15
921,500,A,17,E,1,15
922,500,A,17,E,2,20
923,500,A,17,E,3,19
924,500,A,17,E,4,20
925,500,A,17,E,5,22
926,500,A,18,A,1,16
927,500,A,18,A,2,14
928,500,A,18,A,3,10
929,500,A,18,A,4,17
930,500,A,18,A,5,15
931,500,A,18,B,1,15
932,500,A,18,B,2,11
933,500,A,18,B,3,16
934,500,A,18,B,4,15
935,500,A,18,B,5,15
936,500,A,18,C,1,14
937,500,A,18,C,2,13
938,500,A,18,C,3,15
939,500,A,18,C,4,14
940,500,A,18,C,5,16
941,500,A,18,D,1,15
942,500,A,18,D,2,12
943,500,A,18,D,3,14
944,500,A,18,D,4,15
945,500,A,18,D,5,16
946,500,A,18,E,1,13
947,500,A,18,E,2,12
948,500,A,18,E,3,15
949,500,A,18,E,4,19
950,500,A,18,E,5,14
951,500,A,19,A,1,8
952,500,A,19,A,2,6
953,500,A,19,A,3,12
954,500,A,19,A,4,11
955,500,A,19,A,5,11
956,500,A,19,B,1,4
957,500,A,19,B,2,2
958,500,A,19,B,3,15
959,500,A,19,B,4,14
960,500,A,19,B,5,15
961,500,A,19,C,1,3
962,500,A,19,C,2,4
963,500,A,19,C,3,14
964,500,A,19,C,4,14
965,500,A,19,C,5,15
966,500,A,19,D,1,11
967,500,A,19,D,2,14
968,500,A,19,D,3,11
969,500,A,19,D,4,12
970,500,A,19,D,5,16
971,500,A,19,E,1,9
972,500,A,19,E,2,8
973,500,A,19,E,3,6
974,500,A,19,E,4,10
975,500,A,19,E,5,15
976,500,A,20,A,1,6
977,500,A,20,A,2,10
978,500,A,20,A,3,14
979,500,A,20,A,4,12
980,500,A,20,A,5,13
981,500,A,20,B,1,11
982,500,A,20,B,2,14
983,500,A,20,B,3,16
984,500,A,20,B,4,15
985,500,A,20,B,5,17
986,500,A,20,C,1,15
987,500,A,20,C,2,15
988,500,A,20,C,3,17
989,500,A,20,C,4,16
990,500,A,20,C,5,20
991,500,A,20,D,1,14
992,500,A,20,D,2,16
993,500,A,20,D,3,19
994,500,A,20,D,4,20
995,500,A,20,D,5,20
